subject_id,n_epochs,n_times,mean_power,delta_power,theta_power,alpha_power,beta_power,gamma_power
sub-108,53,1251,1.1021755365913274e-13,3.4575964223993694e-13,1.2971132729977475e-13,1.777133256578836e-13,9.441788825546197e-14,2.5689755114244716e-14
sub-109,63,1251,2.286998704437487e-13,1.0145375327130986e-12,2.5354102325977904e-13,2.8634063583422913e-13,1.4219630008300364e-13,1.0506035555113004e-13
sub-110,37,1251,7.101691338271168e-13,1.69078394621533e-12,1.5442167125296977e-12,1.3487208927723921e-12,3.9974167626525966e-13,2.930415393397387e-13
sub-111,66,1251,8.61155989358517e-13,4.578558083231646e-12,1.7417606694672569e-12,1.1909221118873915e-12,2.9931759502056154e-13,2.0611356565108222e-13
sub-112,66,1251,4.85629719548211e-13,1.0328057400792965e-12,8.518475632336461e-13,1.2006809492583434e-12,3.375515315014746e-13,6.552536359630948e-14
sub-113,56,1251,4.3444910022804595e-13,1.3637727454534483e-12,8.801259007791349e-13,7.539752705676525e-13,2.0922802370101718e-13,2.0390012831855763e-13
sub-114,108,1251,6.719154522619002e-13,4.153482075604835e-12,1.1530540479097689e-12,9.680582526307391e-13,1.9009513152800527e-13,1.2434438671097326e-13
sub-118,76,1251,3.152832293953528e-12,1.0618300416456555e-11,6.897449358317591e-12,7.78172482075402e-12,1.0293401955931236e-12,7.092889091778257e-13
sub-119,78,1251,1.0596404369845618e-12,3.3882124834947672e-12,4.555624000275639e-12,6.152818251368288e-13,4.521164183210674e-13,2.638376702968497e-13
sub-120,69,1251,3.38760194523299e-13,1.2575328631371181e-12,4.733148479292345e-13,5.12513164990456e-13,2.1396649057550322e-13,1.3836523634590434e-13
sub-122,67,1251,6.996556441881757e-13,1.3969706500603036e-12,1.0767768363811596e-12,2.427681657706374e-12,3.3492706311187595e-13,7.711922137913225e-14
sub-123,77,1251,9.531015380986018e-13,3.279829008007698e-12,1.4356208607820765e-12,2.504593209777637e-12,4.752112291589571e-13,9.339586516521181e-14
sub-124,68,1251,7.366902043013898e-13,4.952152815449818e-12,1.7554444367404151e-12,5.379186211566239e-13,1.754125295747537e-13,1.517327347738881e-13
sub-125,74,1251,1.4344979166481817e-12,4.782509070790218e-12,5.111020937567494e-12,1.9294752822631903e-12,5.198797921013438e-13,3.055619100970413e-13
sub-127,65,1251,2.3222379000495287e-12,3.1325849544044237e-12,1.3175025354658104e-11,3.366405984675441e-12,5.352423481339739e-13,3.2239398246497164e-13
sub-128,55,1251,2.5851805564866583e-12,2.0701588270882557e-11,3.9202139043179944e-12,2.4795945465870747e-12,5.523302034324414e-13,2.3704773772031695e-13
sub-129,64,1251,3.325695526793217e-13,1.138269298418563e-12,4.1012369429058614e-13,4.1433224261700257e-13,2.406107293773483e-13,1.7937148205721793e-13
sub-131,76,1251,2.1993020984965505e-12,1.0510997134092024e-11,5.142873553081225e-12,3.7658615269708894e-12,7.622129279604638e-13,2.340318806557779e-13
sub-132,60,1251,1.3510332734637268e-13,6.495050184453432e-13,1.581021441061236e-13,1.6162786119390334e-13,7.91861391606323e-14,5.6090386192086934e-14
sub-134,68,1251,7.127955081242969e-13,1.767042808237999e-12,1.9264157600672026e-12,1.8286377060089446e-12,2.701640789104607e-13,1.0401479660542305e-13
sub-135,66,1251,9.123491646626162e-14,4.947343469420378e-13,1.8360276384012193e-13,5.88001637701286e-14,5.095603007012226e-14,2.149087364336724e-14
sub-136,59,1251,5.31295743807375e-13,3.4484899360330044e-12,9.795485965281047e-13,6.535757995402221e-13,1.5228659527923403e-13,7.776828351012371e-14
sub-137,73,1251,6.094979409798707e-13,2.2546162312939585e-12,1.7463883953686803e-12,1.4440811756606795e-12,1.4524975899488135e-13,3.816159645980434e-14
sub-138,42,1251,3.279140005198567e-13,6.743344608742292e-13,5.916540133349638e-13,7.679192774240789e-13,2.2671859887396873e-13,6.85356144048184e-14
sub-139,73,1251,2.737695052447481e-13,1.4228325748632114e-12,4.005441600922319e-13,3.028467641598442e-13,1.6134080786902847e-13,6.23013678966098e-14
sub-140,57,1251,9.260406207577001e-14,3.5847296880836266e-13,1.2587772351804614e-13,1.5727276461209026e-13,4.3394180474283273e-14,5.149756484094876e-14
sub-142,79,1251,1.9147743097978202e-12,6.272243079731633e-12,8.020126462806913e-12,2.924318803222539e-12,4.771665643246845e-13,1.5914602658747984e-13
sub-143,84,1251,5.541719579931635e-13,9.119472823761682e-13,1.5981655133070345e-12,1.5676542727137567e-12,2.3356111894972045e-13,6.250899475528784e-14
sub-144,57,1251,5.722397559839386e-13,1.5958438120726737e-12,1.0039013668680195e-12,8.769860254063948e-13,4.181012428136346e-13,2.0750929997587183e-13
sub-145,71,1251,2.8479649725355237e-13,9.68168814708552e-13,4.407812020490546e-13,3.577564549695062e-13,1.8533438399735329e-13,1.5393073180122722e-13
sub-146,58,1251,9.073586425824265e-14,4.2932625428419054e-13,1.8243249378949438e-13,6.515187971707222e-14,5.895668430471961e-14,2.2438213998395526e-14
sub-147,70,1251,2.7045265314758736e-13,1.8514885867730793e-12,3.6817886797478117e-13,1.8873307057297238e-13,9.729519381335557e-14,1.0284107479119491e-13
sub-148,76,1251,4.931119616065615e-13,3.309639970065652e-12,9.608257990797229e-13,3.918351210816725e-13,1.4734742441959876e-13,1.2000974735884006e-13
sub-149,80,1251,4.995631863505988e-13,2.0846495300462264e-12,1.1206623144405057e-12,9.903728781775127e-13,1.8651753872214642e-13,6.869791767284209e-14
sub-150,65,1251,1.166209946476423e-12,8.695744255307585e-12,2.8030291446349897e-12,6.657972716060644e-13,2.1966824418390733e-13,1.7295445267032744e-13
sub-152,79,1251,4.163942538462192e-12,3.609363549479903e-11,1.0466308244503726e-11,1.6714616163767865e-12,2.989108780272645e-13,1.4040881068407115e-13
