,subject_id,n_epochs,n_times,mean_power,delta_power,theta_power,alpha_power,beta_power,gamma_power
0,sub-001,67,1251,1.2162178409500313e-13,4.2875832508150266e-13,1.5137969004719986e-13,1.7402859085862017e-13,7.959289828014739e-14,6.40043497563677e-14
1,sub-002,65,1251,4.885498436613373e-13,3.163126328150411e-12,8.53607851887305e-13,5.894394983946796e-13,1.4694280672379696e-13,8.650976692489096e-14
2,sub-003,80,1251,5.773054624495919e-13,3.5498002888838177e-12,7.15908332753679e-13,5.880219435291864e-13,2.29672827521144e-13,2.327694103841112e-13
3,sub-004,111,1251,9.375800474157536e-13,7.717248004828001e-12,1.73913904628004e-12,5.393435630373833e-13,1.744556060994385e-13,1.287408560010217e-13
4,sub-005,53,1251,1.1021755365913274e-13,3.4575964223993694e-13,1.2971132729977477e-13,1.777133256578836e-13,9.441788825546197e-14,2.568975511424472e-14
5,sub-006,63,1251,2.2869987044374873e-13,1.0145375327130986e-12,2.5354102325977904e-13,2.863406358342292e-13,1.4219630008300364e-13,1.0506035555113005e-13
6,sub-007,37,1251,7.101691338271168e-13,1.6907839462153299e-12,1.5442167125296977e-12,1.3487208927723921e-12,3.997416762652597e-13,2.930415393397387e-13
7,sub-008,66,1251,8.61155989358517e-13,4.578558083231646e-12,1.7417606694672569e-12,1.1909221118873917e-12,2.993175950205616e-13,2.0611356565108225e-13
8,sub-009,66,1251,4.85629719548211e-13,1.0328057400792965e-12,8.518475632336462e-13,1.2006809492583434e-12,3.375515315014746e-13,6.552536359630948e-14
9,sub-010,56,1251,4.3444910022804605e-13,1.3637727454534485e-12,8.801259007791349e-13,7.539752705676525e-13,2.092280237010172e-13,2.0390012831855766e-13
10,sub-011,108,1251,6.719154522619003e-13,4.153482075604835e-12,1.1530540479097689e-12,9.680582526307393e-13,1.900951315280053e-13,1.2434438671097328e-13
11,sub-012,76,1251,3.152832293953528e-12,1.0618300416456555e-11,6.8974493583175905e-12,7.78172482075402e-12,1.0293401955931236e-12,7.092889091778257e-13
12,sub-013,78,1251,1.0596404369845618e-12,3.3882124834947672e-12,4.555624000275639e-12,6.152818251368288e-13,4.521164183210674e-13,2.638376702968497e-13
13,sub-014,69,1251,3.38760194523299e-13,1.2575328631371181e-12,4.733148479292345e-13,5.12513164990456e-13,2.1396649057550322e-13,1.3836523634590434e-13
14,sub-015,67,1251,6.996556441881757e-13,1.3969706500603036e-12,1.0767768363811596e-12,2.427681657706374e-12,3.34927063111876e-13,7.711922137913225e-14
15,sub-016,77,1251,9.531015380986018e-13,3.279829008007698e-12,1.4356208607820765e-12,2.504593209777637e-12,4.752112291589571e-13,9.339586516521181e-14
16,sub-017,68,1251,7.366902043013899e-13,4.952152815449818e-12,1.7554444367404153e-12,5.379186211566239e-13,1.754125295747537e-13,1.517327347738881e-13
17,sub-018,74,1251,1.4344979166481817e-12,4.782509070790218e-12,5.111020937567494e-12,1.9294752822631903e-12,5.198797921013438e-13,3.0556191009704134e-13
18,sub-019,65,1251,2.322237900049529e-12,3.132584954404424e-12,1.3175025354658104e-11,3.366405984675441e-12,5.352423481339739e-13,3.223939824649717e-13
19,sub-020,55,1251,2.5851805564866587e-12,2.070158827088256e-11,3.920213904317994e-12,2.4795945465870747e-12,5.523302034324414e-13,2.3704773772031695e-13
20,sub-021,64,1251,3.325695526793217e-13,1.138269298418563e-12,4.101236942905861e-13,4.1433224261700257e-13,2.406107293773483e-13,1.7937148205721793e-13
21,sub-022,76,1251,2.1993020984965505e-12,1.0510997134092024e-11,5.142873553081225e-12,3.7658615269708894e-12,7.622129279604639e-13,2.340318806557779e-13
22,sub-023,60,1251,1.3510332734637268e-13,6.495050184453433e-13,1.581021441061236e-13,1.6162786119390336e-13,7.918613916063231e-14,5.609038619208693e-14
23,sub-024,68,1251,7.127955081242969e-13,1.767042808237999e-12,1.9264157600672026e-12,1.828637706008945e-12,2.701640789104607e-13,1.0401479660542305e-13
24,sub-025,66,1251,9.123491646626163e-14,4.947343469420378e-13,1.8360276384012198e-13,5.88001637701286e-14,5.095603007012226e-14,2.1490873643367242e-14
25,sub-026,59,1251,5.31295743807375e-13,3.4484899360330044e-12,9.795485965281049e-13,6.535757995402221e-13,1.5228659527923406e-13,7.776828351012371e-14
26,sub-027,73,1251,6.094979409798707e-13,2.2546162312939585e-12,1.7463883953686805e-12,1.4440811756606797e-12,1.4524975899488138e-13,3.816159645980434e-14
27,sub-028,42,1251,3.279140005198567e-13,6.743344608742292e-13,5.916540133349638e-13,7.679192774240789e-13,2.2671859887396878e-13,6.85356144048184e-14
28,sub-029,73,1251,2.7376950524474813e-13,1.4228325748632114e-12,4.0054416009223194e-13,3.028467641598442e-13,1.613408078690285e-13,6.23013678966098e-14
29,sub-030,57,1251,9.260406207577001e-14,3.5847296880836266e-13,1.2587772351804614e-13,1.5727276461209028e-13,4.3394180474283273e-14,5.1497564840948764e-14
30,sub-031,79,1251,1.9147743097978202e-12,6.272243079731633e-12,8.020126462806913e-12,2.924318803222539e-12,4.771665643246845e-13,1.5914602658747984e-13
31,sub-032,84,1251,5.541719579931636e-13,9.119472823761682e-13,1.5981655133070345e-12,1.567654272713757e-12,2.3356111894972045e-13,6.250899475528785e-14
32,sub-033,57,1251,5.722397559839386e-13,1.5958438120726737e-12,1.0039013668680197e-12,8.769860254063948e-13,4.181012428136346e-13,2.0750929997587185e-13
33,sub-034,71,1251,2.847964972535524e-13,9.68168814708552e-13,4.407812020490546e-13,3.577564549695062e-13,1.8533438399735329e-13,1.5393073180122722e-13
34,sub-035,58,1251,9.073586425824264e-14,4.293262542841906e-13,1.8243249378949443e-13,6.515187971707223e-14,5.895668430471961e-14,2.2438213998395526e-14
35,sub-036,70,1251,2.7045265314758736e-13,1.8514885867730797e-12,3.681788679747812e-13,1.887330705729724e-13,9.729519381335557e-14,1.0284107479119493e-13
36,sub-037,76,1251,4.931119616065616e-13,3.309639970065652e-12,9.608257990797229e-13,3.9183512108167254e-13,1.4734742441959878e-13,1.2000974735884006e-13
37,sub-038,80,1251,4.995631863505988e-13,2.0846495300462264e-12,1.1206623144405057e-12,9.90372878177513e-13,1.8651753872214642e-13,6.86979176728421e-14
38,sub-039,65,1251,1.166209946476423e-12,8.695744255307585e-12,2.8030291446349897e-12,6.657972716060644e-13,2.1966824418390733e-13,1.7295445267032746e-13
39,sub-040,79,1251,4.163942538462192e-12,3.609363549479903e-11,1.0466308244503726e-11,1.6714616163767865e-12,2.989108780272645e-13,1.4040881068407118e-13
